"phase title","phase see","pattern title","pattern see","rule title","rule context","generate context test","let name","let value","assert test","assert description","assert severity","notes"
"","","","","","/auc:BuildingSync/auc:Facilities/auc:Facility/auc:Reports/auc:Report/auc:Scenarios/auc:Scenario[auc:ScenarioType/auc:Benchmark]","true","","","auc:AllResourceTotals/auc:AllResourceTotal/auc:SiteEnergyUse","","ERROR",""
"","","","","","","","","","auc:AllResourceTotals/auc:AllResourceTotal/auc:SiteEnergyUseIntensity","","ERROR",""
"Target Savings","ASHRAE 211 6.1.4","Target Savings Tests","ASHRAE 211 6.1.4","Target Scenario","/auc:BuildingSync/auc:Facilities/auc:Facility/auc:Reports/auc:Report/auc:Scenarios/auc:Scenario[auc:ScenarioType/auc:Target]","true","","","auc:AllResourceTotals/auc:AllResourceTotal/auc:SiteEnergyUse","","ERROR",""
"","","","","","","","","","auc:AllResourceTotals/auc:AllResourceTotal/auc:SiteEnergyUseIntensity","","ERROR",""
"","","","","","","","","","auc:AllResourceTotals/auc:AllResourceTotal/auc:EnergyCost","","ERROR",""
"","","","","","","","","","auc:AllResourceTotals/auc:AllResourceTotal/auc:EnergyCostIndex","","ERROR",""
"","","","","","/auc:BuildingSync/auc:Facilities/auc:Facility/auc:Reports/auc:Report/auc:Scenarios/auc:Scenario/auc:ScenarioType/auc:Target","true","","","auc:AnnualSavingsCost","","ERROR",""
"","","","","","","","","","auc:AnnualSavingsSiteEnergy","","ERROR",""
"Low and No Cost Measures","ASHRAE 211 6.1.5","Low Cost Measures Tests","ASHRAE 211 6.1.5","Package of Measures","/auc:BuildingSync/auc:Facilities/auc:Facility/auc:Reports/auc:Report/auc:Scenarios/auc:Scenario/auc:ScenarioType/auc:PackageOfMeasures","true","","","//auc:Scenario[auc:ScenarioType/auc:CurrentBuilding/auc:CalculationMethod/auc:Measured and @ID = current()/auc:ReferenceCase/@IDref]","Package of Measures must be linked to the Measured Scenario (ie auc:PackageOfMeasures/auc:ReferenceCase/@IDref must contain the ID of the Scenario of type auc:CurrentBuilding/auc:CalculationMethod/auc:Measured)","ERROR",""
"","","","","","","","","","auc:MeasureIDs/auc:MeasureID","","ERROR",""
"","","","","","","","","","auc:CostCategory","","ERROR",""
"","","","","","","","","","auc:SimpleImpactAnalysis/auc:ImpactOnOccupantComfort","","ERROR",""
"","","","","","","","","","auc:SimpleImpactAnalysis/auc:EstimatedCost","","ERROR",""
"","","","","","","","","","auc:SimpleImpactAnalysis/auc:EstimatedAnnualSavings","","ERROR",""
"","","","","","","","","","auc:SimpleImpactAnalysis/auc:EstimatedROI","","ERROR",""
"","","","","","","","","","auc:SimpleImpactAnalysis/auc:Priority","","ERROR",""
"","","","","","/auc:BuildingSync/auc:Facilities/auc:Facility/auc:Reports/auc:Report/auc:Scenarios/auc:Scenario/auc:ScenarioType/auc:PackageOfMeasures/auc:MeasureIDs/auc:MeasureID","true","","","//auc:Measures/auc:Measure[@ID = current()/@IDref]","Each Measure in this Package should be linked","ERROR",""
"","","","","Measures","/auc:BuildingSync/auc:Facilities/auc:Facility/auc:Measures/auc:Measure","true","","","auc:LongDescription","","ERROR",""
"","","","","","","","","","auc:SystemCategoryAffected","","ERROR",""
"","","","","","","","","","auc:TechnologyCategories/auc:TechnologyCategory//auc:MeasureName","","ERROR",""
"","","","","","","","","","(auc:TechnologyCategories/auc:TechnologyCategory//auc:MeasureName/text() != 'Other') or auc:CustomMeasureName","","ERROR",""
